PHASE,TASK NAME,PROJECT,START DATE,DUE DATE,NOTES
โครงการย่อย 1 จ.เชียงใหม่,จัดตั้ง/ขับเคลื่อนคณะทำงานระดับจังหวัด และจัดระบบข้อมูลกลางเพื่อการตัดสินใจ,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 2.5 | WBS: CM-P01 | Estimated cost: 204150.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,จัดทำระบบสารสนเทศน้ำเชิงพื้นที่และประยุกต์ใช้ระบบเทคโนโลยีดิจิทัลให้ผู้บริหาร - เจ้าหน้าที่ ระดับท้องถิ่นใช้ประกอบการจัดทำแผนน้ำตำบล,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: CM-T08 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,สนับสนุนการบริหารจัดการน้ำเชิงพื้นที่และการแก้ไขปัญหาหาด้านน้ำ (ถ่ายเทคโนโลยีเกษตร),โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: CM-T09 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,ติดตามหนุนเสริมการดำเนินงาน,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: CM-T10 | Estimated cost: 204150.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,เวทีสรุปบทเรียนและถอดบทเรียนการพัฒนาองค์กรผู้ใช้น้ำผ่านกลไกความร่วมมือขององค์กรปกครองส่วนท้องถิ่น,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 5.0 | WBS: CM-T11 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,สรุปบทเรียนการดำเนินงานและสังเคราะห์ความรู้เพื่อวัดผลลัพธ์ที่เกิดขึ้นจากการดำเนินโครงการ,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,Months: 12 | Weight %: 2.5 | WBS: CM-T12 | Estimated cost: 204150.0 | Document: CM | Status: Not Started
โครงการย่อย 2 จ.เชียงราย,จัดตั้ง/ขับเคลื่อนคณะทำงานระดับจังหวัด และจัดระบบข้อมูลกลางเพื่อการตัดสินใจ,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 2.5 | WBS: CR-P01 | Estimated cost: 106550.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,รวบรวมข้อมูลทุติยภูมิและจัดทำฐานข้อมูลระบบสารสนเทศภูมิศาสตร์,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: CR-P02 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ลงพื้นที่สำรวจและประเมินพื้นที่เสี่ยงสูงเพื่อเตรียมติดตั้งเทคโนโลยีต้นแบบ,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 2,3,4 | Weight %: 7.5 | WBS: CR-P03 | Estimated cost: 319650.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,สนับสนุน/ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan (อย่างน้อย 10 ตำบล),โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 3,4,5,6 | Weight %: 7.5 | WBS: CR-P04 | Estimated cost: 319650.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,เริ่มติดตั้งเทคโนโลยีโครงการต้นแบบในพื้นที่เสี่ยงสูงที่คัดเลือกแล้ว,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 3,4,5,6,7,8,9,10 | Weight %: 5.0 | WBS: CR-P05 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan ให้ครบ 10 ตำบล,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: CR-P06 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ติดตามผลการติดตั้งและการใช้งานเทคโนโลยีต้นแบบ พร้อมปรับปรุงแนวปฏิบัติ,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: CR-P07 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,สรุปผลการผลักดันโครงการเข้าสู่ระบบ Thai Water Plan และบทเรียนการดำเนินงาน,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 8,9,10,11 | Weight %: 5.0 | WBS: CR-P08 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,จัดทำชุดองค์ความรู้และคู่มือปฏิบัติสำหรับการขยายผล,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 8,9,10,11,12 | Weight %: 5.0 | WBS: CR-P09 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,การประเมินผลภาพรวม,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 2.5 | WBS: CR-P10 | Estimated cost: 106550.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,การประชุมทีมคณะทำงานจังหวัด,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: CR-T01 | Estimated cost: 106550.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ลงพื้นที่เก็บข้อมูลเพื่อสำรวจความพร้อม ปัญหา Mapping ทรัพยากร พื้นที่ ความเสี่ยง,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: CR-T02 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ศึกษาดูงานและสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 2.5 | WBS: CR-T03 | Estimated cost: 106550.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,เวทีสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 5.0 | WBS: CR-T04 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ทีมคณะทำงานโครงการย่อยเข้าร่วมอบรมเชิงปฏิบัติการกับทีมคณะทำงานส่วนกลาง 2 หลักสูตร จำนวน 4 ครั้ง,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 5,6 | Weight %: 5.0 | WBS: CR-T05 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,เวทีอบรมเชิงปฏิบัติการระบบเทคโนโลยีดิจิทัลสำหรับการจัดเก็บข้อมูล,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: CR-T06 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,เวทีการจัดทำแผนน้ำชุมชนเชื่อมโยงกับแผนพัฒนาท้องถิ่น,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: CR-T07 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,จัดทำระบบสารสนเทศน้ำเชิงพื้นที่และประยุกต์ใช้ระบบเทคโนโลยีดิจิทัลให้ผู้บริหาร - เจ้าหน้าที่ ระดับท้องถิ่นใช้ประกอบการจัดทำแผนน้ำตำบล,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: CR-T08 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,สนับสนุนการบริหารจัดการน้ำเชิงพื้นที่และการแก้ไขปัญหาหาด้านน้ำ (ถ่ายเทคโนโลยีเกษตร),โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: CR-T09 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,ติดตามหนุนเสริมการดำเนินงาน,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: CR-T10 | Estimated cost: 106550.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,เวทีสรุปบทเรียนและถอดบทเรียนการพัฒนาองค์กรผู้ใช้น้ำผ่านกลไกความร่วมมือขององค์กรปกครองส่วนท้องถิ่น,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 5.0 | WBS: CR-T11 | Estimated cost: 213100.0 | Document: CR | Status: Not Started"
โครงการย่อย 2 จ.เชียงราย,สรุปบทเรียนการดำเนินงานและสังเคราะห์ความรู้เพื่อวัดผลลัพธ์ที่เกิดขึ้นจากการดำเนินโครงการ,โครงการย่อย 2 จ.เชียงราย,2026-06-01,2027-05-31,Months: 12 | Weight %: 2.5 | WBS: CR-T12 | Estimated cost: 106550.0 | Document: CR | Status: Not Started
โครงการย่อย 3 จ.ลำพูน,จัดตั้ง/ขับเคลื่อนคณะทำงานระดับจังหวัด และจัดระบบข้อมูลกลางเพื่อการตัดสินใจ,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 2.5 | WBS: LP-P01 | Estimated cost: 104525.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,รวบรวมข้อมูลทุติยภูมิและจัดทำฐานข้อมูลระบบสารสนเทศภูมิศาสตร์,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: LP-P02 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ลงพื้นที่สำรวจและประเมินพื้นที่เสี่ยงสูงเพื่อเตรียมติดตั้งเทคโนโลยีต้นแบบ,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 2,3,4 | Weight %: 7.5 | WBS: LP-P03 | Estimated cost: 313575.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,สนับสนุน/ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan (อย่างน้อย 10 ตำบล),โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 3,4,5,6 | Weight %: 7.5 | WBS: LP-P04 | Estimated cost: 313575.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,เริ่มติดตั้งเทคโนโลยีโครงการต้นแบบในพื้นที่เสี่ยงสูงที่คัดเลือกแล้ว,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 3,4,5,6,7,8,9,10 | Weight %: 5.0 | WBS: LP-P05 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan ให้ครบ 10 ตำบล,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: LP-P06 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ติดตามผลการติดตั้งและการใช้งานเทคโนโลยีต้นแบบ พร้อมปรับปรุงแนวปฏิบัติ,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: LP-P07 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,สรุปผลการผลักดันโครงการเข้าสู่ระบบ Thai Water Plan และบทเรียนการดำเนินงาน,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 8,9,10,11 | Weight %: 5.0 | WBS: LP-P08 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,จัดทำชุดองค์ความรู้และคู่มือปฏิบัติสำหรับการขยายผล,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 8,9,10,11,12 | Weight %: 5.0 | WBS: LP-P09 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,การประเมินผลภาพรวม,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 2.5 | WBS: LP-P10 | Estimated cost: 104525.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,การประชุมทีมคณะทำงานจังหวัด,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: LP-T01 | Estimated cost: 104525.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ลงพื้นที่เก็บข้อมูลเพื่อสำรวจความพร้อม ปัญหา Mapping ทรัพยากร พื้นที่ ความเสี่ยง,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: LP-T02 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ศึกษาดูงานและสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 2.5 | WBS: LP-T03 | Estimated cost: 104525.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,เวทีสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 5.0 | WBS: LP-T04 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ทีมคณะทำงานโครงการย่อยเข้าร่วมอบรมเชิงปฏิบัติการกับทีมคณะทำงานส่วนกลาง 2 หลักสูตร จำนวน 4 ครั้ง,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 5,6 | Weight %: 5.0 | WBS: LP-T05 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,เวทีอบรมเชิงปฏิบัติการระบบเทคโนโลยีดิจิทัลสำหรับการจัดเก็บข้อมูล,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: LP-T06 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,เวทีการจัดทำแผนน้ำชุมชนเชื่อมโยงกับแผนพัฒนาท้องถิ่น,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: LP-T07 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,จัดทำระบบสารสนเทศน้ำเชิงพื้นที่และประยุกต์ใช้ระบบเทคโนโลยีดิจิทัลให้ผู้บริหาร - เจ้าหน้าที่ ระดับท้องถิ่นใช้ประกอบการจัดทำแผนน้ำตำบล,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: LP-T08 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,สนับสนุนการบริหารจัดการน้ำเชิงพื้นที่และการแก้ไขปัญหาหาด้านน้ำ (ถ่ายเทคโนโลยีเกษตร),โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 9,10 | Weight %: 5.0 | WBS: LP-T09 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,ติดตามหนุนเสริมการดำเนินงาน,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: LP-T10 | Estimated cost: 104525.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,เวทีสรุปบทเรียนและถอดบทเรียน การพัฒนาองค์กรผู้ใช้น้ำผ่านกลไกความร่วมมือขององค์กรปกครองส่วนท้องถิ่น,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 5.0 | WBS: LP-T11 | Estimated cost: 209050.0 | Document: LP | Status: Not Started"
โครงการย่อย 3 จ.ลำพูน,สรุปบทเรียนการดำเนินงานและสังเคราะห์ความรู้เพื่อวัดผลลัพธ์ที่เกิดขึ้นจากการดำเนินโครงการ,โครงการย่อย 3 จ.ลำพูน,2026-06-01,2027-05-31,Months: 12 | Weight %: 2.5 | WBS: LP-T12 | Estimated cost: 104525.0 | Document: LP | Status: Not Started
โครงการย่อย 4 จ.พะเยา,จัดตั้ง/ขับเคลื่อนคณะทำงานระดับจังหวัด และจัดระบบข้อมูลกลางเพื่อการตัดสินใจ,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 2.5 | WBS: PY-P01 | Estimated cost: 102850.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,รวบรวมข้อมูลทุติยภูมิและจัดทำฐานข้อมูลระบบสารสนเทศภูมิศาสตร์,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: PY-P02 | Estimated cost: 205700.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,ลงพื้นที่สำรวจและประเมินพื้นที่เสี่ยงสูงเพื่อเตรียมติดตั้งเทคโนโลยีต้นแบบ,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 2,3,4 | Weight %: 7.5 | WBS: PY-P03 | Estimated cost: 308550.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,สนับสนุน/ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan (อย่างน้อย 10 ตำบล),โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 3,4,5,6 | Weight %: 7.5 | WBS: PY-P04 | Estimated cost: 308550.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,เริ่มติดตั้งเทคโนโลยีโครงการต้นแบบในพื้นที่เสี่ยงสูงที่คัดเลือกแล้ว,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 3,4,5,6,7,8,9,10 | Weight %: 5.0 | WBS: PY-P05 | Estimated cost: 205700.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan ให้ครบ 10 ตำบล,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: PY-P06 | Estimated cost: 205700.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,ติดตามผลการติดตั้งและการใช้งานเทคโนโลยีต้นแบบ พร้อมปรับปรุงแนวปฏิบัติ,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: PY-P07 | Estimated cost: 205700.0 | Document: PY | Status: Not Started"
โครงการย่อย 4 จ.พะเยา,สรุปผลการผลักดันโครงการเข้าสู่ระบบ Thai Water Plan และบทเรียนการดำเนินงาน,โครงการย่อย 4 จ.พะเยา,2026-06-01,2027-05-31,"Months: 8,9,10,11 | Weight %: 5.0 | WBS: PY-P08 | Estimated cost: 205700.0 | Document: PY | Status: Not Started"
